time,labels
0.049342107,t1
0.008230452,t1
0.053497944,t1
0.03975535,t1
0.15899582,t1
0.082822084,t1
0.07109005,t1
0.026819924,t1
0.058064517,t1
0.06549521,t1
0.045031056,t1
0.0016638935,t1
0.04107425,t1
0.021447722,t1
0.024299065,t1
0.049848944,t1
0.048331417,t1
0.0038314175,t1
0.036144577,t1
0.08238637,t1
0.057494868,t1
0.0036363637,t1
0.016638935,t1
0.035326086,t1
0.053398058,t1
0.0752551,t1
0.021864211,t1
0.040446304,t1
0.19753087,t1
0.047393367,t1
0.0,t1
0.042813454,t1
0.05324459,t1
0.044382803,t1
0.05894309,t1
0.07785467,t1
0.025889968,t1
0.0038314175,t1
0.045307443,t1
0.0015082957,t1
0.105714284,t1
0.005226481,t1
0.0,t1
0.04,t1
0.08664773,t1
0.056194127,t1
0.03328895,t1
0.14353313,t1
0.021505376,t1
0.08460472,t1
0.059548255,t1
0.010596027,t1
0.049919486,t1
0.004819277,t1
0.04467354,t1
0.0027434842,t1
0.026798308,t1
0.05,t1
0.08,t1
0.04654443,t1
0.053977273,t1
0.02538787,t1
0.09262166,t1
0.09847434,t1
0.034591194,t1
0.075203255,t1
0.056194127,t1
0.03125,t1
0.003220612,t1
0.06116208,t1
0.08294931,t1
0.03963964,t1
0.057607092,t1
0.050697085,t1
0.043723553,t1
0.008130081,t1
0.05065666,t1
0.025276462,t1
0.041811846,t1
0.023319615,t1
0.006684492,t1
0.060559005,t1
0.06481481,t1
0.055031445,t1
0.04761905,t1
0.03908046,t1
0.041284405,t1
0.038265307,t1
0.04326123,t1
0.029986963,t1
0.06497175,t1
0.0,t1
0.018766755,t1
0.0,t1
0.01884422,t1
0.050552923,t1
0.038022812,t1
0.07692308,t1
0.062650606,t1
0.06962963,t1
0.0,t1
0.025073746,t1
0.025559105,t1
0.0805921,t1
0.03323263,t1
0.19478738,t1
0.022566997,t1
0.056748465,t1
0.0625,t1
0.028097063,t1
0.025,t1
0.03894081,t1
0.07055215,t1
0.05037037,t1
0.03975535,t1
0.017857144,t1
0.03551402,t1
0.049363058,t1
0.0013586957,t1
0.06746988,t1
0.016216217,t1
0.06,t1
0.035714287,t1
0.057632398,t1
0.003911343,t1
0.07390649,t1
0.07013575,t1
0.12343967,t1
0.08163265,t1
0.04076087,t1
0.054945055,t1
0.08895706,t1
0.029535865,t1
0.03125,t1
0.0057537397,t1
0.027777778,t1
0.004379562,t1
0.062650606,t1
0.005839416,t1
0.016885553,t1
0.2489083,t1
0.0060698027,t1
0.035330262,t1
0.016296295,t1
0.0,t1
0.048469387,t1
0.034852546,t1
0.026086956,t1
0.028915662,t1
0.03373494,t1
0.040575918,t1
0.008939974,t1
0.04326123,t1
0.038709678,t1
0.057663128,t1
0.05027174,t1
0.07666667,t1
0.004878049,t1
0.05214724,t1
0.007440476,t1
0.024691358,t1
0.040650405,t1
0.023006136,t1
0.044836957,t1
0.024265645,t1
0.019417476,t1
0.064136125,t1
0.10818308,t1
0.025679758,t1
0.03610675,t1
0.03780069,t1
0.049253732,t1
0.030487806,t1
0.069565214,t1
0.06346968,t1
0.027314112,t1
0.014492754,t1
0.049482163,t1
0.008462624,t1
0.021472393,t1
0.007936508,t1
0.017595308,t1
0.012552301,t1
0.08435583,t1
0.03364486,t1
0.0273752,t1
0.05882353,t1
0.03058104,t1
0.05483871,t1
0.027522936,t1
0.056296296,t1
0.06760204,t1
0.06605223,t1
0.0,t1
0.011904762,t1
0.09431345,t1
0.03155007,t1
0.07064364,t1
0.053619303,t1
0.041284405,t1
0.12300319,tPN
0.101620026,tPN
0.10517799,tPN
0.1116208,tPN
0.1690341,tPN
0.093655586,tPN
0.07723577,tPN
0.14146341,tPN
0.15857606,tPN
0.077419356,tPN
0.14285715,tPN
0.08204518,tPN
0.1389728,tPN
0.18635607,tPN
0.10452962,tPN
0.12232416,tPN
0.144427,tPN
0.1274074,tPN
0.22125182,tPN
0.10548523,tPN
0.12693936,tPN
0.10804598,tPN
0.1659808,tPN
0.13282248,tPN
0.12975779,tPN
0.12538226,tPN
0.09818182,tPN
0.05350773,tPN
0.1954023,tPN
0.072378136,tPN
0.16468254,tPN
0.12054329,tPN
0.10973937,tPN
0.113425925,tPN
0.16808149,tPN
0.072837636,tPN
0.13518518,tPN
0.11523179,tPN
0.11921708,tPN
0.107466064,tPN
0.15428571,tPN
0.08456973,tPN
0.1485623,tPN
0.12482853,tPN
0.07636364,tPN
0.10252996,tPN
0.09153713,tPN
0.1028169,tPN
0.17682926,tPN
0.1259484,tPN
0.099866845,tPN
0.12530121,tPN
0.1259484,tPN
0.08846761,tPN
0.13210227,tPN
0.11904762,tPN
0.14359862,tPN
0.14951769,tPN
0.17479675,tPN
0.13190185,tPN
0.116564415,tPN
0.10044313,tPN
0.15130435,tPN
0.06620209,tPN
0.14064698,tPN
0.12195122,tPN
0.071532845,tPN
0.099303134,tPN
0.09878049,tPN
0.099270076,tPN
0.12379421,tPN
0.23714286,tPN
0.16984127,tPN
0.11743772,tPN
0.090368606,tPN
0.11891892,tPN
0.08610272,tPN
0.19308943,tPN
0.13971743,tPN
0.1389728,tPN
0.17073171,tPN
0.13489737,tPN
0.12232416,tPN
0.13731343,tPN
0.11340206,tPN
0.10569106,tPN
0.12433155,tPN
0.13537675,tPN
0.13333334,tPN
0.09202454,tPN
0.15062761,tPN
0.15,tPN
0.11348684,tPN
0.15384616,tPN
0.16581632,tPN
0.10190217,tPN
0.19901316,tPN
0.074235804,tPN
0.17832647,tPN
0.13782991,tPN
0.22707424,tPN
0.19272727,tPN
0.1851211,tPN
0.17913043,tPN
0.074074075,tPN
0.11459968,tPN
0.08117444,tPN
0.12715855,tPN
0.095108695,tPN
0.12596007,tPN
0.16510318,tPN
0.057401814,tPN
0.12135922,tPN
0.11394102,tPN
0.15486726,tPN
0.15775034,tPN
0.10666667,tPN
0.12954186,tPN
0.11647254,tPN
0.13504823,tPN
0.11616954,tPN
0.1304878,tPN
0.117117114,tPN
0.15632184,tPN
0.19907407,tPN
0.13142857,tPN
0.14878893,tPN
0.18574108,tPN
0.17913043,tPN
0.17142858,tPN
0.1045045,tPN
0.15352112,tPN
0.13021703,tPN
0.15818182,tPN
0.14814815,tPN
0.10903427,tPN
0.04982818,tPN
0.17663044,tPN
0.093891405,tPN
0.027737226,tPN
0.06789413,tPN
0.17964824,tPN
0.06887755,tPN
0.12688442,tPN
0.087131366,tPN
0.1173763,tPN
0.09517045,tPN
0.15650406,tPN
0.108895704,tPN
0.14413266,tPN
0.08971962,tPN
0.14723927,tPN
0.0,tPN
0.1583851,tPN
0.047400612,tPN
0.16770187,tPN
0.12421384,tPN
0.07914573,tPN
0.14,tPN
0.1442441,tPN
0.13496932,tPN
0.079104476,tPN
0.15384616,tPN
0.093231164,tPN
0.16753022,tPN
0.072164945,tPN
0.092493296,tPN
0.18253969,tPN
0.121993124,tPN
0.08018868,tPN
0.14507042,tPN
0.17283951,tPN
0.0797546,tPN
0.08566978,tPN
0.13862929,tPN
0.10166919,tPN
0.09390244,tPN
0.1509091,tPN
0.14666666,tPN
0.14492753,tPN
0.14678898,tPN
0.06214039,tPN
0.09325397,tPN
0.14439324,tPN
0.048751485,tPN
0.08148148,tPN
0.17470881,tPN
0.13029827,tPN
0.12827225,tPN
0.116347566,tPN
0.16268657,tPN
0.08809524,tPN
0.1302682,tPN
0.15893108,tPN
0.0879397,tPN
0.15851852,tPN
0.12054329,tPN
0.113520406,tPN
0.14719272,tPN
0.10461956,tPN
0.15443425,tPNf
0.18327974,tPNf
0.209009,tPNf
0.1536189,tPNf
0.14060031,tPNf
0.20537125,tPNf
0.13737075,tPNf
0.17714286,tPNf
0.16207951,tPNf
0.23026316,tPNf
0.17590362,tPNf
0.17133956,tPNf
0.17484662,tPNf
0.18317758,tPNf
0.14104372,tPNf
0.1559633,tPNf
0.15120275,tPNf
0.17975831,tPNf
0.18879056,tPNf
0.14067279,tPNf
0.13399154,tPNf
0.20094192,tPNf
0.1826087,tPNf
0.1491876,tPNf
0.24013157,tPNf
0.1649635,tPNf
0.21200511,tPNf
0.20648968,tPNf
0.14879356,tPNf
0.14525993,tPNf
0.14771049,tPNf
0.18770227,tPNf
0.15641712,tPNf
0.16192171,tPNf
0.22434783,tPNf
0.16207951,tPNf
0.16642335,tPNf
0.18072289,tPNf
0.15127389,tPNf
0.15202232,tPNf
0.15765247,tPNf
0.19466248,tPNf
0.185567,tPNf
0.20545454,tPNf
0.15328467,tPNf
0.14914773,tPNf
0.19666667,tPNf
0.15292096,tPNf
0.18213059,tPNf
0.1556157,tPNf
0.1955836,tPNf
0.16666667,tPNf
0.16666667,tPNf
0.115338884,tPNf
0.19833334,tPNf
0.20121951,tPNf
0.1596424,tPNf
0.20121951,tPNf
0.14950635,tPNf
0.18850575,tPNf
0.16113745,tPNf
0.19099098,tPNf
0.24202627,tPNf
0.17331289,tPNf
0.16058394,tPNf
