755,534,82,34,0,3,0,1,4,0,6,0,0
352,1059,20,204,22,13,2,1,10,0,7,1,5
117,73,100,12,1,0,0,0,1,0,1,0,1
18,53,13,964,101,135,36,5,40,10,163,6,33
1,1,0,40,8,12,5,2,4,2,10,0,1
0,8,0,269,96,433,156,53,135,133,250,3,41
0,1,0,7,21,98,21,12,47,51,48,21,10
0,0,0,48,12,85,22,13,31,43,66,10,12
0,0,0,34,1,104,37,22,37,88,177,29,26
0,0,0,37,14,162,52,48,158,467,663,134,45
0,1,0,77,16,119,73,88,180,434,2091,474,115
0,0,0,10,3,5,6,1,37,31,329,938,493
0,7,2,22,10,9,3,0,10,8,39,285,1704
